,Forecast,Lower CI,Upper CI
2023-06-01,142930.67936203605,121858.38784702495,164002.97087704716
2023-07-01,155997.99876386684,131331.31194918422,180664.68557854946
2023-08-01,156563.05652235015,126721.96382700314,186404.14921769715
2023-09-01,163673.90053988912,129969.04582750253,197378.7552522757
2023-10-01,192872.8572777739,155271.35630529484,230474.35825025296
2023-11-01,196134.61107667442,154958.37269864386,237310.849454705
2023-12-01,170562.3025008814,125912.41649243329,215212.1885093295
2024-01-01,170533.16496593494,122544.12670475747,218522.20322711242
2024-02-01,174851.23867815992,123598.24468174938,226104.23267457046
2024-03-01,210760.76492590475,156334.96407000575,265186.56578180374
2024-04-01,173098.8319426603,115553.02106575985,230644.64281956074
2024-05-01,236445.83657648787,175826.11957472644,297065.5535782493
